intervention_id,station_libelle,date_signalement,date_resolution,nature,duree_indispo_min,technicien
328,Bordeaux — Zone Nord,2025-10-07,2025-10-28,écran illisible,239,TECH-07
329,Brest — Port,2025-08-19,2025-08-19,maintenance préventive,1886,TECH-09
330,Lorient — Parc des Expos,2025-11-11,2025-11-11,maintenance préventive,-1,TECH-10
331,Vannes — Marché,2025-06-06,2025-06-08,communication réseau perdue,541,TECH-17
332,Cherbourg — Port,2025-03-28,2025-04-10,défaut de paiement carte,2466,TECH-06
333,Angers — Parc des Expos,2025-01-15,2025-02-04,communication réseau perdue,2500,TECH-10
334,Le Havre — Marché,2025-12-11,2025-12-18,câble endommagé,60,TECH-07
335,Strasbourg — Gare,2025-02-15,2025-02-22,défaut de paiement carte,1116,TECH-10
336,Metz — Zone Nord,2025-07-23,2025-08-13,maintenance préventive,2699,TECH-18
337,Lorient — Marché,2025-12-22,2026-01-11,défaut de paiement carte,578,TECH-08
338,Quimper — Stade,2025-09-16,2025-10-02,câble endommagé,-1,TECH-06
339,Vannes — Centre,2025-07-14,2025-07-23,communication réseau perdue,2145,TECH-17
340,Évreux — Centre,2025-12-05,2025-12-07,communication réseau perdue,-1,TECH-01
341,Vannes — Marché,2025-03-06,2025-03-21,communication réseau perdue,2547,TECH-10
342,Nîmes — Centre,2025-04-12,2025-04-30,défaut de paiement carte,953,TECH-14
343,Nantes — Parc des Expos,2025-12-27,2026-01-05,communication réseau perdue,1856,TECH-07
344,Caen — Gare,2025-10-04,2025-10-20,communication réseau perdue,2833,TECH-09
345,Caen — Gare,2025-08-07,2025-08-15,communication réseau perdue,610,TECH-13
346,Toulouse — Centre,2025-09-22,2025-10-06,câble endommagé,-1,TECH-13
347,Le Mans — Port,2025-03-06,2025-03-21,communication réseau perdue,2582,TECH-12
348,Angers — Université,2025-11-21,2025-12-10,défaut de paiement carte,1049,TECH-16
349,Le Havre — Port,2025-07-28,2025-08-06,maintenance préventive,2510,TECH-17
350,Albi — Université,2025-08-21,2025-08-30,borne hors service,1971,TECH-03
351,Le Mans — Marché,2025-09-01,2025-09-14,communication réseau perdue,263,TECH-18
352,Angoulême — Parc des Expos,2025-07-20,2025-07-25,écran illisible,-1,TECH-04
353,Le Mans — Stade,2025-06-23,2025-07-02,communication réseau perdue,1584,TECH-05
354,Nîmes — Marché,2025-12-29,2026-01-03,communication réseau perdue,-1,TECH-03
355,Vannes — Marché,2025-05-06,2025-05-21,maintenance préventive,-1,TECH-03
356,Reims — Zone Nord,2025-08-14,2025-09-03,communication réseau perdue,1688,TECH-08
357,Le Havre — Stade,2025-07-25,2025-07-29,écran illisible,2081,TECH-08
358,La Roche — Parc des Expos,2025-02-22,2025-03-13,défaut de paiement carte,2656,TECH-05
359,Le Havre — Zone Nord,2025-07-20,2025-07-28,maintenance préventive,2006,TECH-01
360,Reims — Marché,2025-08-14,2025-08-31,maintenance préventive,1205,TECH-13
361,Brest — Port,2025-06-18,2025-06-23,câble endommagé,1888,TECH-05
362,Le Mans — Port,2025-12-16,2026-01-02,écran illisible,311,TECH-13
363,La Roche — Université,2025-12-05,2025-12-24,écran illisible,616,TECH-15
364,Angers — Université,2025-01-08,2025-01-21,câble endommagé,908,TECH-08
365,Vannes — Université,2025-08-13,2025-08-15,écran illisible,2228,TECH-09
366,Strasbourg — Gare,2025-11-17,2025-11-29,défaut de paiement carte,267,TECH-01
367,Rouen — Gare,2025-12-26,2025-12-31,communication réseau perdue,893,TECH-07
368,Metz — Port,2025-01-20,2025-02-04,défaut de paiement carte,-1,TECH-09
369,Nantes — Parc des Expos,2025-07-04,2025-07-06,câble endommagé,1986,TECH-05
370,Lorient — Marché,2025-08-17,2025-09-04,écran illisible,339,TECH-14
371,Cherbourg — Zone Nord,2025-09-24,2025-10-09,communication réseau perdue,1793,TECH-02
372,Strasbourg — Port,2025-04-10,2025-04-10,maintenance préventive,-1,TECH-05
373,Poitiers — Port,2025-11-01,2025-11-05,borne hors service,2219,TECH-09
374,Nîmes — Marché,2025-06-03,2025-06-09,maintenance préventive,261,TECH-08
375,Cherbourg — Hôpital,2025-11-13,2025-11-26,borne hors service,613,TECH-11
376,Metz — Zone Nord,2025-10-23,2025-10-29,borne hors service,161,TECH-07
377,Reims — Université,2025-01-10,2025-01-22,écran illisible,896,TECH-05
378,Poitiers — Stade,2025-11-25,2025-11-26,borne hors service,1827,TECH-13
379,Bordeaux — Zone Nord,2025-10-27,2025-10-27,maintenance préventive,-1,TECH-07
380,Angoulême — Aéroport,2025-11-27,2025-12-13,communication réseau perdue,2801,TECH-08
381,Montpellier — Stade,2025-12-19,2025-12-26,maintenance préventive,-1,TECH-17
382,Nancy — Université,2025-04-28,2025-05-13,borne hors service,265,TECH-18
383,Rouen — Stade,2025-08-05,2025-08-21,maintenance préventive,510,TECH-07
384,Rouen — Stade,2025-04-19,2025-05-07,communication réseau perdue,-1,TECH-09
385,Nancy — Port,2025-09-13,2025-09-14,borne hors service,1778,TECH-17
386,Perpignan — Parc des Expos,2025-11-14,2025-12-02,borne hors service,1081,TECH-06
387,Vannes — Centre,2025-02-25,2025-02-25,communication réseau perdue,-1,TECH-08
388,Vannes — Université,2025-09-22,2025-10-05,communication réseau perdue,1337,TECH-10
389,Le Havre — Gare,2025-01-18,2025-01-28,câble endommagé,404,TECH-05
390,Albi — Centre,2025-03-11,2025-03-13,borne hors service,1259,TECH-03
391,Le Mans — Aéroport,2025-11-16,2025-11-26,câble endommagé,311,TECH-09
392,Nantes — Parc des Expos,2025-02-23,2025-02-28,maintenance préventive,2168,TECH-18
393,Le Mans — Aéroport,2025-05-13,2025-05-17,communication réseau perdue,2021,TECH-07
394,Angoulême — Zone Nord,2025-02-28,2025-03-15,câble endommagé,654,TECH-01
395,La Roche — Hôpital,2025-11-08,2025-11-12,maintenance préventive,1638,TECH-07
396,Angoulême — Port,2025-12-24,2026-01-10,écran illisible,161,TECH-11
397,Caen — Université,2025-12-15,2025-12-31,borne hors service,1863,TECH-17
398,Caen — Université,2025-12-06,2025-12-24,borne hors service,1689,TECH-07
399,Quimper — Stade,2025-03-01,2025-03-21,communication réseau perdue,2491,TECH-18
400,Nantes — Hôpital,2025-08-12,2025-08-24,borne hors service,2120,TECH-12
401,Colmar — Parc des Expos,2025-03-06,2025-03-08,communication réseau perdue,1693,TECH-05
402,Rennes — Centre,2025-11-28,2025-12-03,câble endommagé,995,TECH-08
403,Toulouse — Aéroport,2025-05-14,2025-06-04,borne hors service,2008,TECH-02
404,Rennes — Marché,2025-10-13,2025-10-27,écran illisible,1591,TECH-01
405,Angers — Port,2025-03-24,2025-03-26,borne hors service,58,TECH-02
406,Poitiers — Hôpital,2025-11-25,2025-12-12,défaut de paiement carte,2569,TECH-03
407,Rouen — Marché,2025-10-24,2025-11-09,défaut de paiement carte,1522,TECH-04
408,Reims — Université,2025-12-04,2025-12-22,câble endommagé,528,TECH-05
409,Le Havre — Port,2025-12-01,2025-12-19,communication réseau perdue,753,TECH-02
410,Bordeaux — Université,2025-11-01,2025-11-07,communication réseau perdue,2251,TECH-14
411,Quimper — Marché,2025-06-21,2025-07-12,borne hors service,-1,TECH-06
412,Cherbourg — Centre,2025-09-07,2025-09-26,maintenance préventive,1306,TECH-08
413,La Roche — Université,2025-04-27,2025-05-16,défaut de paiement carte,2508,TECH-18
414,Montpellier — Centre,2025-07-11,2025-07-20,câble endommagé,2110,TECH-09
415,Strasbourg — Hôpital,2025-01-20,2025-02-02,borne hors service,457,TECH-09
416,Nîmes — Stade,2025-08-09,2025-08-26,maintenance préventive,2207,TECH-14
417,Le Mans — Stade,2025-09-15,2025-10-05,borne hors service,2084,TECH-13
418,Rennes — Marché,2025-03-09,2025-03-14,défaut de paiement carte,2479,TECH-02
419,Quimper — Stade,2025-06-18,2025-06-26,communication réseau perdue,1418,TECH-12
420,Lorient — Hôpital,2025-03-10,2025-03-31,borne hors service,1662,TECH-04
421,La Roche — Hôpital,2025-04-09,2025-04-14,maintenance préventive,222,TECH-14
422,Poitiers — Port,2025-03-19,2025-03-31,écran illisible,2644,TECH-15
423,Vannes — Zone Nord,2025-03-18,2025-04-08,communication réseau perdue,239,TECH-18
424,La Roche — Université,2025-05-08,2025-05-21,défaut de paiement carte,2708,TECH-15
425,Strasbourg — Hôpital,2025-05-30,2025-05-30,câble endommagé,2392,TECH-14
426,Évreux — Aéroport,2025-01-27,2025-02-16,défaut de paiement carte,1233,TECH-08
427,Cherbourg — Port,2025-06-17,2025-07-02,communication réseau perdue,1039,TECH-01
428,Rennes — Aéroport,2025-02-01,2025-02-08,maintenance préventive,1399,TECH-07
429,Toulouse — Gare,2025-08-08,2025-08-29,maintenance préventive,739,TECH-08
430,Nancy — Gare,2025-04-03,2025-04-23,câble endommagé,1645,TECH-12
431,Montpellier — Hôpital,2025-03-07,2025-03-22,communication réseau perdue,2106,TECH-16
432,Angers — Gare,2025-08-19,2025-08-31,écran illisible,1627,TECH-01
433,Colmar — Centre,2025-12-05,2025-12-19,défaut de paiement carte,2621,TECH-11
434,Pau — Stade,2025-05-13,2025-05-22,communication réseau perdue,1891,TECH-07
435,Strasbourg — Parc des Expos,2025-02-07,2025-02-20,maintenance préventive,1898,TECH-18
436,Bordeaux — Université,2025-03-30,2025-04-07,défaut de paiement carte,2676,TECH-17
437,La Roche — Parc des Expos,2025-12-14,2026-01-03,écran illisible,2401,TECH-13
438,Colmar — Centre,2025-11-07,2025-11-19,écran illisible,1049,TECH-04
439,Nantes — Port,2025-07-11,2025-07-20,maintenance préventive,2221,TECH-04
440,Rennes — Aéroport,2025-12-29,2026-01-06,défaut de paiement carte,1471,TECH-09
441,Laval — Hôpital,2025-02-06,2025-02-23,maintenance préventive,796,TECH-14
442,Reims — Zone Nord,2025-06-03,2025-06-04,écran illisible,-1,TECH-08
443,Limoges — Zone Nord,2025-11-23,2025-12-04,câble endommagé,2792,TECH-05
444,Limoges — Stade,2025-02-08,2025-03-01,écran illisible,193,TECH-07
445,Limoges — Hôpital,2025-08-11,2025-08-18,câble endommagé,2759,TECH-17
446,Perpignan — Aéroport,2025-12-21,2026-01-05,câble endommagé,676,TECH-13
447,Albi — Université,2025-12-26,2026-01-12,écran illisible,480,TECH-12
448,Montpellier — Hôpital,2025-11-30,2025-12-07,borne hors service,965,TECH-02
449,Lorient — Gare,2025-10-26,2025-11-12,câble endommagé,-1,TECH-14
450,Colmar — Université,2025-02-27,2025-03-08,écran illisible,2032,TECH-10
451,Lorient — Université,2025-06-02,2025-06-19,défaut de paiement carte,755,TECH-11
452,Cherbourg — Port,2025-05-04,2025-05-17,écran illisible,268,TECH-18
453,Caen — Gare,2025-01-10,2025-01-14,borne hors service,-1,TECH-09
454,Montpellier — Centre,2025-03-29,2025-04-15,câble endommagé,2016,TECH-15
455,Brest — Port,2025-04-08,2025-04-23,câble endommagé,2668,TECH-18
456,Colmar — Université,2025-04-18,2025-05-09,communication réseau perdue,2283,TECH-06
457,Le Havre — Port,2025-12-11,2025-12-25,câble endommagé,299,TECH-16
458,Cherbourg — Gare,2025-05-26,2025-05-28,défaut de paiement carte,1624,TECH-14
459,Rennes — Centre,2025-04-12,2025-04-30,maintenance préventive,1204,TECH-03
460,Quimper — Université,2025-06-25,2025-06-26,borne hors service,614,TECH-03
461,Poitiers — Centre,2025-05-16,2025-05-17,borne hors service,1773,TECH-18
462,Le Mans — Marché,2025-12-22,2025-12-22,borne hors service,170,TECH-10
463,Perpignan — Parc des Expos,2025-06-09,2025-06-13,défaut de paiement carte,2380,TECH-02
464,Angoulême — Université,2025-10-24,2025-10-27,borne hors service,1699,TECH-17
465,Perpignan — Aéroport,2025-02-23,2025-03-07,écran illisible,537,TECH-09
466,La Roche — Stade,2025-01-08,2025-01-15,communication réseau perdue,2699,TECH-11
467,Bordeaux — Marché,2025-10-13,2025-11-03,communication réseau perdue,1164,TECH-02
468,Brest — Parc des Expos,2025-02-27,2025-03-03,maintenance préventive,2227,TECH-08
469,Nancy — Port,2025-10-30,2025-11-05,communication réseau perdue,1889,TECH-11
470,Lorient — Université,2025-11-23,2025-12-06,défaut de paiement carte,1382,TECH-03
471,Le Havre — Port,2025-09-27,2025-10-14,écran illisible,2373,TECH-16
472,Toulouse — Université,2025-01-30,2025-02-07,écran illisible,843,TECH-04
473,Rennes — Parc des Expos,2025-04-01,2025-04-21,défaut de paiement carte,313,TECH-01
474,Montpellier — Port,2025-03-23,2025-04-05,défaut de paiement carte,1233,TECH-16
475,Nancy — Centre,2025-02-07,2025-02-23,défaut de paiement carte,1323,TECH-12
476,Laval — Université,2025-11-09,2025-11-17,défaut de paiement carte,2648,TECH-05
477,Caen — Gare,2025-03-11,2025-03-12,maintenance préventive,124,TECH-12
478,Angoulême — Stade,2025-04-17,2025-05-08,écran illisible,592,TECH-07
479,Reims — Stade,2025-08-25,2025-09-03,maintenance préventive,-1,TECH-18
480,Rouen — Marché,2025-07-31,2025-08-19,défaut de paiement carte,-1,TECH-08
481,Évreux — Centre,2025-01-15,2025-01-18,communication réseau perdue,2844,TECH-10
482,Poitiers — Centre,2025-08-20,2025-08-29,borne hors service,923,TECH-03
483,Nîmes — Stade,2025-08-03,2025-08-16,câble endommagé,570,TECH-07
484,Strasbourg — Parc des Expos,2025-10-17,2025-10-31,borne hors service,1461,TECH-02
485,Nancy — Université,2025-02-02,2025-02-08,câble endommagé,-1,TECH-16
486,Reims — Université,2025-06-18,2025-06-28,écran illisible,1548,TECH-06
487,Rennes — Aéroport,2025-06-20,2025-07-04,communication réseau perdue,2775,TECH-11
488,Le Havre — Port,2025-05-21,2025-05-22,écran illisible,148,TECH-08
489,Rennes — Stade,2025-04-01,2025-04-21,maintenance préventive,834,TECH-18
490,Colmar — Centre,2025-04-18,2025-05-04,défaut de paiement carte,352,TECH-07
491,Montpellier — Stade,2025-11-25,2025-12-11,défaut de paiement carte,566,TECH-17
492,Nancy — Université,2025-11-30,2025-12-13,câble endommagé,2459,TECH-10
493,Le Havre — Port,2025-12-07,2025-12-13,maintenance préventive,-1,TECH-11
494,Angers — Port,2025-11-22,2025-11-26,défaut de paiement carte,2242,TECH-12
495,Toulouse — Aéroport,2025-07-17,2025-07-27,câble endommagé,1526,TECH-02
496,Cherbourg — Aéroport,2025-11-16,2025-11-20,borne hors service,1159,TECH-05
497,Bordeaux — Marché,2025-03-14,2025-04-01,défaut de paiement carte,-1,TECH-14
498,Nancy — Université,2025-01-18,2025-01-26,défaut de paiement carte,1494,TECH-17
499,Le Havre — Zone Nord,2025-02-27,2025-03-20,câble endommagé,2841,TECH-12
500,Bordeaux — Université,2025-09-02,2025-09-19,câble endommagé,2370,TECH-10
501,Bordeaux — Hôpital,2025-07-13,2025-08-03,écran illisible,735,TECH-05
502,Rouen — Gare,2025-07-30,2025-08-07,écran illisible,1673,TECH-08
503,Le Mans — Port,2025-07-22,2025-08-11,câble endommagé,1523,TECH-08
504,Perpignan — Aéroport,2025-03-29,2025-04-01,écran illisible,1236,TECH-12
505,Perpignan — Gare,2025-09-10,2025-09-13,borne hors service,1552,TECH-08
506,Le Havre — Stade,2025-06-07,2025-06-24,maintenance préventive,2639,TECH-04
507,Lorient — Université,2025-08-03,2025-08-10,défaut de paiement carte,2202,TECH-13
508,Le Havre — Marché,2025-01-05,2025-01-11,écran illisible,2837,TECH-10
509,Rouen — Aéroport,2025-08-14,2025-09-04,écran illisible,2085,TECH-04
510,Lorient — Parc des Expos,2025-08-17,2025-08-23,défaut de paiement carte,2713,TECH-14
511,Le Havre — Gare,2025-03-12,2025-04-02,défaut de paiement carte,572,TECH-01
512,Le Mans — Aéroport,2025-02-20,2025-03-05,communication réseau perdue,2426,TECH-11
513,Rennes — Marché,2025-11-13,2025-11-21,communication réseau perdue,2087,TECH-16
514,Reims — Stade,2025-10-27,2025-10-30,défaut de paiement carte,1223,TECH-09
515,Rennes — Parc des Expos,2025-03-28,2025-03-29,communication réseau perdue,692,TECH-09
516,Cherbourg — Zone Nord,2025-05-21,2025-06-03,câble endommagé,2589,TECH-15
517,Angers — Parc des Expos,2025-11-24,2025-12-01,borne hors service,1434,TECH-03
518,Vannes — Port,2025-07-30,2025-08-05,écran illisible,1591,TECH-09
519,Cherbourg — Zone Nord,2025-05-25,2025-05-29,maintenance préventive,208,TECH-14
520,Rennes — Parc des Expos,2025-03-10,2025-03-26,communication réseau perdue,1088,TECH-07
521,Quimper — Centre,2025-09-12,2025-09-27,communication réseau perdue,699,TECH-14
522,Toulouse — Port,2025-03-07,2025-03-12,maintenance préventive,1673,TECH-13
523,Cherbourg — Port,2025-09-28,2025-10-07,écran illisible,2481,TECH-02
524,Poitiers — Centre,2025-10-30,2025-11-07,écran illisible,1743,TECH-14
525,Bordeaux — Hôpital,2025-07-16,2025-07-18,borne hors service,2614,TECH-12
526,Toulouse — Gare,2025-09-16,2025-09-28,borne hors service,2169,TECH-05
527,Angers — Marché,2025-11-01,2025-11-07,défaut de paiement carte,2798,TECH-08
528,Reims — Stade,2025-06-09,2025-06-12,défaut de paiement carte,2876,TECH-07
529,Nîmes — Stade,2025-09-01,2025-09-05,câble endommagé,2418,TECH-06
530,Reims — Gare,2025-08-06,2025-08-19,borne hors service,1694,TECH-10
531,Angoulême — Parc des Expos,2025-09-24,2025-09-26,borne hors service,2440,TECH-18
532,Évreux — Aéroport,2025-01-11,2025-01-17,borne hors service,2326,TECH-03
533,La Roche — Stade,2025-03-31,2025-04-18,défaut de paiement carte,-1,TECH-09
534,La Roche — Université,2025-03-15,2025-04-03,câble endommagé,-1,TECH-02
535,Vannes — Port,2025-07-14,2025-07-23,défaut de paiement carte,2842,TECH-06
536,Albi — Université,2025-03-29,2025-04-08,écran illisible,869,TECH-11
537,Cherbourg — Zone Nord,2025-10-14,2025-10-24,borne hors service,710,TECH-17
538,Angers — Université,2025-09-17,2025-10-05,câble endommagé,2068,TECH-13
539,Lorient — Université,2025-04-02,2025-04-06,borne hors service,2737,TECH-16
540,Caen — Gare,2025-04-04,2025-04-09,communication réseau perdue,1491,TECH-09
541,Metz — Port,2025-11-20,2025-12-08,écran illisible,-1,TECH-01
542,Nancy — Université,2025-09-28,2025-10-18,câble endommagé,1721,TECH-03
543,Cherbourg — Hôpital,2025-03-12,2025-03-21,défaut de paiement carte,1448,TECH-15
544,Nancy — Gare,2025-01-10,2025-01-24,borne hors service,-1,TECH-13
545,Bordeaux — Port,2025-03-17,2025-04-01,communication réseau perdue,889,TECH-12
546,Poitiers — Zone Nord,2025-06-20,2025-07-03,écran illisible,1711,TECH-18
547,Le Havre — Stade,2025-10-31,2025-11-06,communication réseau perdue,329,TECH-16
548,Montpellier — Stade,2025-04-05,2025-04-16,câble endommagé,2168,TECH-12
549,Laval — Hôpital,2025-01-19,2025-02-07,défaut de paiement carte,1783,TECH-12
550,Albi — Université,2025-12-10,2025-12-31,maintenance préventive,1671,TECH-07
551,Limoges — Centre,2025-07-11,2025-07-19,défaut de paiement carte,-1,TECH-10
552,Rennes — Centre,2025-04-21,2025-05-09,communication réseau perdue,2216,TECH-10
553,Angoulême — Stade,2025-05-22,2025-05-29,écran illisible,456,TECH-13
554,Nantes — Parc des Expos,2025-09-08,2025-09-20,communication réseau perdue,2695,TECH-04
555,Limoges — Hôpital,2025-10-27,2025-11-04,communication réseau perdue,2349,TECH-14
556,Cherbourg — Hôpital,2025-04-27,2025-05-14,écran illisible,2340,TECH-10
557,La Roche — Hôpital,2025-09-20,2025-09-23,communication réseau perdue,1035,TECH-01
558,Colmar — Stade,2025-10-28,2025-11-14,maintenance préventive,1546,TECH-04
559,Bordeaux — Aéroport,2025-09-19,2025-09-23,maintenance préventive,1103,TECH-07
560,Angoulême — Aéroport,2025-05-03,2025-05-11,borne hors service,1672,TECH-07
561,Montpellier — Centre,2025-12-07,2025-12-28,câble endommagé,1396,TECH-08
562,Montpellier — Port,2025-01-08,2025-01-25,câble endommagé,2664,TECH-09
563,Rouen — Marché,2025-04-07,2025-04-09,défaut de paiement carte,2416,TECH-04
564,Metz — Parc des Expos,2025-11-12,2025-11-24,maintenance préventive,2713,TECH-13
565,Angers — Parc des Expos,2025-06-17,2025-06-29,maintenance préventive,2627,TECH-01
566,Poitiers — Centre,2025-07-04,2025-07-20,communication réseau perdue,747,TECH-11
567,Bordeaux — Université,2025-10-18,2025-10-21,communication réseau perdue,-1,TECH-11
568,Quimper — Zone Nord,2025-01-11,2025-01-28,maintenance préventive,-1,TECH-15
569,Perpignan — Gare,2025-04-11,2025-05-01,communication réseau perdue,406,TECH-04
570,Toulouse — Université,2025-06-15,2025-06-17,câble endommagé,1240,TECH-05
571,Cherbourg — Gare,2025-08-14,2025-08-29,maintenance préventive,762,TECH-13
572,Limoges — Université,2025-01-13,2025-01-24,communication réseau perdue,2193,TECH-07
573,Perpignan — Marché,2025-11-30,2025-12-05,défaut de paiement carte,630,TECH-10
574,Lorient — Marché,2025-10-27,2025-10-28,maintenance préventive,977,TECH-18
575,Limoges — Hôpital,2025-07-29,2025-08-07,câble endommagé,1670,TECH-03
576,Strasbourg — Parc des Expos,2025-01-21,2025-01-28,câble endommagé,1659,TECH-06
577,Quimper — Marché,2025-08-04,2025-08-17,communication réseau perdue,573,TECH-11
578,Montpellier — Port,2025-07-26,2025-07-28,écran illisible,1333,TECH-03
579,Toulouse — Aéroport,2025-01-01,2025-01-10,défaut de paiement carte,2665,TECH-14
580,Le Mans — Centre,2025-11-15,2025-11-28,défaut de paiement carte,1958,TECH-07
581,Le Mans — Parc des Expos,2025-01-18,2025-01-26,communication réseau perdue,932,TECH-03
582,Rouen — Gare,2025-12-09,2025-12-09,communication réseau perdue,2248,TECH-06
583,Le Mans — Parc des Expos,2025-02-10,2025-02-11,borne hors service,1341,TECH-16
584,Caen — Université,2025-10-13,2025-10-28,maintenance préventive,-1,TECH-18
585,Le Mans — Zone Nord,2025-04-15,2025-04-26,borne hors service,2613,TECH-13
586,Cherbourg — Gare,2025-05-24,2025-06-07,communication réseau perdue,2722,TECH-16
587,Strasbourg — Gare,2025-12-04,2025-12-13,communication réseau perdue,218,TECH-09
588,Strasbourg — Aéroport,2025-10-29,2025-11-01,câble endommagé,683,TECH-09
589,Cherbourg — Hôpital,2025-04-25,2025-05-09,maintenance préventive,1658,TECH-16
590,Rouen — Université,2025-12-15,2025-12-17,écran illisible,865,TECH-03
591,Le Mans — Parc des Expos,2025-06-08,2025-06-12,communication réseau perdue,677,TECH-06
592,Rennes — Port,2025-05-12,2025-05-22,écran illisible,1234,TECH-17
593,Le Havre — Stade,2025-04-12,2025-04-23,communication réseau perdue,586,TECH-13
594,La Roche — Hôpital,2025-03-24,2025-04-07,borne hors service,2821,TECH-08
595,Rennes — Marché,2025-09-12,2025-09-16,câble endommagé,692,TECH-15
596,Rennes — Parc des Expos,2025-07-07,2025-07-17,câble endommagé,1004,TECH-10
597,Albi — Centre,2025-12-01,2025-12-13,borne hors service,962,TECH-06
598,Bordeaux — Université,2025-09-20,2025-10-05,câble endommagé,509,TECH-05
599,Bordeaux — Université,2025-03-20,2025-03-31,écran illisible,-1,TECH-13
600,Albi — Université,2025-08-05,2025-08-16,défaut de paiement carte,1834,TECH-12
601,Évreux — Aéroport,2025-10-20,2025-10-26,communication réseau perdue,1854,TECH-14
602,Nantes — Gare,2025-04-27,2025-05-15,câble endommagé,78,TECH-17
603,Bordeaux — Université,2025-06-17,2025-07-04,communication réseau perdue,48,TECH-13
604,Angoulême — Université,2025-11-21,2025-11-27,borne hors service,486,TECH-08
605,Le Mans — Stade,2025-05-18,2025-06-08,écran illisible,871,TECH-10
606,Le Havre — Zone Nord,2025-03-12,2025-03-22,défaut de paiement carte,430,TECH-04
607,Rennes — Centre,2025-08-29,2025-09-11,communication réseau perdue,2273,TECH-01
608,Le Havre — Stade,2025-06-30,2025-07-06,maintenance préventive,1538,TECH-03
609,Cherbourg — Hôpital,2025-01-31,2025-02-19,écran illisible,903,TECH-10
610,Vannes — Port,2025-11-17,2025-12-01,maintenance préventive,1011,TECH-17
611,Vannes — Centre,2025-04-01,2025-04-07,défaut de paiement carte,892,TECH-10
612,Caen — Université,2025-12-31,2026-01-09,maintenance préventive,-1,TECH-14
613,Colmar — Centre,2025-06-04,2025-06-22,maintenance préventive,1256,TECH-12
614,Strasbourg — Aéroport,2025-10-13,2025-10-23,maintenance préventive,1262,TECH-15
615,La Roche — Stade,2025-12-14,2025-12-28,écran illisible,505,TECH-10
616,Nantes — Gare,2025-12-31,2026-01-06,défaut de paiement carte,153,TECH-14
617,Lorient — Gare,2025-02-13,2025-02-25,borne hors service,2507,TECH-11
618,Toulouse — Université,2025-03-26,2025-04-03,communication réseau perdue,682,TECH-10
619,Albi — Université,2025-02-26,2025-03-12,défaut de paiement carte,23,TECH-15
620,Perpignan — Gare,2025-08-17,2025-08-28,communication réseau perdue,981,TECH-17
621,Nancy — Port,2025-11-13,2025-11-25,câble endommagé,2079,TECH-02
622,Perpignan — Université,2025-09-03,2025-09-03,écran illisible,558,TECH-09
623,La Roche — Hôpital,2025-10-15,2025-10-24,écran illisible,834,TECH-08
624,Toulouse — Aéroport,2025-03-19,2025-03-29,communication réseau perdue,1073,TECH-07
625,Pau — Stade,2025-06-20,2025-07-08,écran illisible,2613,TECH-10
626,Quimper — Marché,2025-08-01,2025-08-11,câble endommagé,1581,TECH-03
627,Caen — Université,2025-02-12,2025-02-17,communication réseau perdue,2089,TECH-05
628,Rennes — Aéroport,2025-09-08,2025-09-14,écran illisible,-1,TECH-07
629,Bordeaux — Centre,2025-04-27,2025-05-03,maintenance préventive,1220,TECH-14
630,Lorient — Marché,2025-01-10,2025-01-25,écran illisible,2777,TECH-18
631,Bordeaux — Centre,2025-07-06,2025-07-10,maintenance préventive,-1,TECH-14
632,La Roche — Hôpital,2025-04-28,2025-05-19,défaut de paiement carte,1517,TECH-04
633,Le Mans — Marché,2025-04-02,2025-04-12,borne hors service,706,TECH-11
634,Angoulême — Parc des Expos,2025-07-11,2025-08-01,écran illisible,2180,TECH-07
635,Metz — Zone Nord,2025-01-10,2025-01-26,communication réseau perdue,-1,TECH-15
636,Perpignan — Parc des Expos,2025-11-20,2025-12-09,maintenance préventive,535,TECH-09
637,Laval — Université,2025-08-11,2025-08-11,maintenance préventive,2536,TECH-04
638,Limoges — Aéroport,2025-04-23,2025-05-10,défaut de paiement carte,827,TECH-01
639,Angers — Gare,2025-02-14,2025-03-04,maintenance préventive,2280,TECH-17
640,Angoulême — Port,2025-12-30,2025-12-31,écran illisible,-1,TECH-15
641,Quimper — Zone Nord,2025-07-25,2025-07-27,défaut de paiement carte,779,TECH-04
642,Angoulême — Aéroport,2025-02-18,2025-02-25,écran illisible,459,TECH-14
643,Strasbourg — Stade,2025-01-14,2025-01-25,écran illisible,1658,TECH-14
644,Reims — Université,2025-09-01,2025-09-03,défaut de paiement carte,-1,TECH-18
645,Lorient — Hôpital,2025-08-25,2025-09-01,maintenance préventive,1945,TECH-01
646,Vannes — Zone Nord,2025-09-16,2025-09-29,maintenance préventive,1880,TECH-03
647,Rennes — Stade,2025-02-11,2025-03-01,câble endommagé,2608,TECH-11
648,Montpellier — Centre,2025-03-12,2025-03-31,câble endommagé,699,TECH-07
649,Perpignan — Gare,2025-11-03,2025-11-03,communication réseau perdue,381,TECH-08
650,Perpignan — Aéroport,2025-03-23,2025-03-31,câble endommagé,1784,TECH-14
651,Pau — Stade,2025-06-20,2025-06-27,écran illisible,1200,TECH-01
652,Le Mans — Aéroport,2025-07-23,2025-07-24,écran illisible,585,TECH-09
653,Nantes — Hôpital,2025-10-12,2025-10-28,câble endommagé,1845,TECH-18
654,Perpignan — Marché,2025-02-06,2025-02-06,maintenance préventive,1125,TECH-02
655,Le Mans — Aéroport,2025-05-22,2025-05-23,écran illisible,152,TECH-06
